"identifier","game_rank","points","bgg_id","bgg_name"
3,1,50,175914,"Food Chain Magnate"
3,2,49,332686,"John Company: Second Edition"
3,3,48,272739,"Clinic: Deluxe Edition"
3,4,47,163068,"Trickerion: Legends of Illusion"
3,5,46,224517,"Brass: Birmingham"
3,6,45,162886,"Spirit Island"
3,7,44,256730,"Pipeline"
3,8,43,18602,"Caylus"
3,9,42,4098,"Age of Steam"
3,10,41,182028,"Through the Ages: A New Story of Civilization"
3,11,40,38765,"Ground Floor"
3,12,39,128271,"Ginkgopolis"
3,13,38,39351,"Automobile"
3,14,37,84876,"The Castles of Burgundy"
3,15,36,325022,"Coffee Traders"
3,16,35,126163,"Tzolk'in: The Mayan Calendar"
3,17,34,55600,"Shipyard"
3,18,33,193738,"Great Western Trail"
3,19,32,287941,"Formosa Tea"
3,20,31,19777,"Indonesia"
3,21,30,40276,"Masters of Venice"
3,22,29,20551,"Shogun"
3,23,28,125153,"The Gallerist"
3,24,27,32424,"1848: Australia"
3,25,26,272666,"Psychic Pizza Deliverers Go to the Ghost Town"
3,26,25,237182,"Root"
3,27,24,375459,"Speakeasy"
3,28,23,1491,"Outpost"
3,29,22,143693,"Glass Road"
3,30,21,93,"El Grande"
3,31,20,43015,"Hansa Teutonica"
3,32,19,2651,"Power Grid"
3,33,18,28143,"Race for the Galaxy"
3,34,17,214880,"City of the Big Shoulders"
3,35,16,124361,"Concordia"
3,36,15,42,"Tigris & Euphrates"
3,37,14,158600,"Hanamikoji"
3,38,13,177736,"A Feast for Odin"
3,39,12,227789,"Heaven & Ale"
3,40,11,311193,"Anno 1800: The Board Game"
3,41,10,164928,"Orléans"
3,42,9,161533,"Lisboa"
3,43,8,155821,"Inis"
3,44,7,169786,"Scythe"
3,45,6,220308,"Gaia Project"
3,46,5,151347,"Millennium Blades"
3,47,4,395875,"Oranges & Lemons"
3,48,3,555,"The Princes of Florence"
3,49,2,177478,"IKI"
3,50,1,304510,"Pampero"
35,1,50,291572,"Oath"
35,2,49,332686,"John Company: Second Edition"
35,3,48,359871,"Arcs"
35,4,47,256960,"Pax Pamir: Second Edition"
35,5,46,2398,"Cribbage"
35,6,45,291453,"SCOUT"
35,7,44,248861,"Metro X"
35,8,43,277659,"Final Girl"
35,9,42,318084,"Furnace"
35,10,41,237182,"Root"
35,11,40,274960,"Point Salad"
35,12,39,373106,"Sky Team"
35,13,38,193738,"Great Western Trail"
35,14,37,337765,"Brian Boru: High King of Ireland"
35,15,36,352238,"Turncoats"
35,16,35,231733,"Obsession"
35,17,34,4098,"Age of Steam"
35,18,33,230802,"Azul"
35,19,32,411567,"The Gang"
35,20,31,552,"Bus"
35,21,30,295374,"Long Shot: The Dice Game"
35,22,29,350205,"Horseless Carriage"
35,23,28,245961,"Fleet: The Dice Game"
35,24,27,337255,"Bug Council of Backyardia"
35,25,26,379629,"Knarr"
35,26,25,311900,"Votes for Women"
35,27,24,131287,"Panamax"
35,28,23,118,"Modern Art"
35,29,22,199561,"Sagrada"
35,30,21,162886,"Spirit Island"
35,31,20,324345,"Cat in the box"
35,32,19,291845,"Three Sisters"
35,33,18,158600,"Hanamikoji"
35,34,17,366013,"Heat: Pedal to the Metal"
35,35,16,359402,"Ahoy"
35,36,15,161882,"Irish Gauge"
35,37,14,54043,"Jaipur"
35,38,13,356768,"Bloc by Bloc: Uprising"
35,39,12,266192,"Wingspan"
35,40,11,427904,"Hot Pot Holic"
35,41,10,381591,"Pax Penning"
35,42,9,338376,"A Gest of Robin Hood"
35,43,8,223770,"Startups"
35,44,7,407297,"River Valley Glassworks"
35,45,6,347305,"Inventions: Evolution of Ideas"
35,46,5,309752,"The Field of the Cloth of Gold"
35,47,4,338957,"Caesar!: Seize Rome in 20 Minutes!"
35,48,3,406257,"SUMO"
35,49,2,163412,"Patchwork"
35,50,1,372559,"Spots"
49,1,50,184267,"On Mars"
49,2,49,109276,"Kanban: Driver's Edition"
49,3,48,231733,"Obsession"
49,4,47,375459,"Speakeasy"
49,5,46,237179,"Weather Machine"
49,6,45,314491,"Meadow"
49,7,44,268188,"Gartenbau"
49,8,43,4098,"Age of Steam"
49,9,42,227935,"Wonderland's War"
49,10,41,332398,"Everdell: The Complete Collection"
49,11,40,347305,"Inventions: Evolution of Ideas"
49,12,39,300877,"New York Zoo"
49,13,38,125153,"The Gallerist"
49,14,37,163412,"Patchwork"
49,15,36,249670,"Fae"
49,16,35,1261,"Medina"
49,17,34,325022,"Coffee Traders"
49,18,33,177736,"A Feast for Odin"
49,19,32,284742,"Honey Buzz"
49,20,31,300322,"Hallertau"
49,21,30,175914,"Food Chain Magnate"
49,22,29,342942,"Ark Nova"
49,23,28,272739,"Clinic: Deluxe Edition"
49,24,27,144344,"Rococo"
49,25,26,388570,"Jokkmokk: The Winter Market"
49,26,25,311900,"Votes for Women"
49,27,24,291845,"Three Sisters"
49,28,23,875,"Roads & Boats"
49,29,22,31260,"Agricola"
49,30,21,384213,"Fromage"
49,31,20,283155,"Calico"
49,32,19,286096,"Tapestry"
49,33,18,349748,"StegegetS"
49,34,17,424152,"Orapa Mine"
49,35,16,111341,"The Great Zimbabwe"
49,36,15,350184,"Earth"
49,37,14,262941,"Dominant Species: Marine"
49,38,13,290236,"Canvas"
49,39,12,321608,"Hegemony: Lead Your Class to Victory"
49,40,11,233678,"Indian Summer"
49,41,10,2569,"Pick Picknic"
49,42,9,249381,"The Estates"
49,43,8,41,"Can't Stop"
49,44,7,392023,"Mycelia"
49,45,6,295947,"Cascadia"
49,46,5,288513,"Tranquility"
49,47,4,185709,"Beasts of Balance"
49,48,3,359871,"Arcs"
49,49,2,1588,"Bauernschlau"
49,50,1,12,"Ra"
69,1,50,272739,"Clinic: Deluxe Edition"
69,2,49,325022,"Coffee Traders"
69,3,48,125153,"The Gallerist"
69,4,47,162886,"Spirit Island"
69,5,46,12333,"Twilight Struggle"
69,6,45,161533,"Lisboa"
69,7,44,96848,"Mage Knight Board Game"
69,8,43,182028,"Through the Ages: A New Story of Civilization"
69,9,42,151347,"Millennium Blades"
69,10,41,174430,"Gloomhaven"
69,11,40,209010,"Mechs vs. Minions"
69,12,39,161970,"Alchemists"
69,13,38,155821,"Inis"
69,14,37,127023,"Kemet"
69,15,36,119788,"Hyperborea"
69,16,35,307305,"Bullet♥︎"
69,17,34,37111,"Battlestar Galactica: The Board Game"
69,18,33,97207,"Dungeon Petz"
69,19,32,58281,"Summoner Wars"
69,20,31,12,"Ra"
69,21,30,122515,"Keyflower"
69,22,29,118,"Modern Art"
69,23,28,256730,"Pipeline"
69,24,27,157354,"Five Tribes: The Djinns of Naqala"
69,25,26,191189,"Aeon's End"
69,26,25,256960,"Pax Pamir: Second Edition"
69,27,24,132531,"Roll for the Galaxy"
69,28,23,304668,"Robot Quest Arena"
69,29,22,237182,"Root"
69,30,21,31481,"Galaxy Trucker"
69,31,20,275467,"Letter Jam"
69,32,19,38863,"The Rich and the Good"
69,33,18,220308,"Gaia Project"
69,34,17,36218,"Dominion"
69,35,16,521,"Crokinole"
69,36,15,280834,"For Science!"
69,37,14,324345,"Cat in the box"
69,38,13,391795,"Kinfire Delve: Vainglory's Grotto"
69,39,12,155426,"Castles of Mad King Ludwig"
69,40,11,54138,"Imperial 2030"
69,41,10,267475,"Stay Cool"
69,42,9,187617,"Nemo's War (Second Edition)"
69,43,8,400366,"Wondrous Creatures"
69,44,7,169426,"Roll Player"
69,45,6,68448,"7 Wonders"
69,46,5,171131,"Captain Sonar"
69,47,4,38453,"Space Alert"
69,48,3,109276,"Kanban: Driver's Edition"
69,49,2,155987,"Abyss"
69,50,1,223750,"Hardback"
75,1,50,28143,"Race for the Galaxy"
75,2,49,132531,"Roll for the Galaxy"
75,3,48,124361,"Concordia"
75,4,47,162886,"Spirit Island"
75,5,46,66837,"1862: Railway Mania in the Eastern Counties"
75,6,45,36218,"Dominion"
75,7,44,17405,"1846: The Race for the Midwest"
75,8,43,555,"The Princes of Florence"
75,9,42,2394,"Dominoes"
75,10,41,295770,"Frosthaven"
75,11,40,256960,"Pax Pamir: Second Edition"
75,12,39,159473,"Quartermaster General"
75,13,38,4098,"Age of Steam"
75,14,37,128780,"Pax Porfiriana"
75,15,36,178900,"Codenames"
75,16,35,42,"Tigris & Euphrates"
75,17,34,193212,"Chariot Race"
75,18,33,31594,"In the Year of the Dragon"
75,19,32,224517,"Brass: Birmingham"
75,20,31,10550,"Big Boggle"
75,21,30,281655,"High Frontier 4 All"
75,22,29,8129,"Sluff Off!"
75,23,28,329839,"So Clover!"
75,24,27,162082,"Deus"
75,25,26,12,"Ra"
75,26,25,122515,"Keyflower"
75,27,24,287,"Bazaar"
75,28,23,30957,"Tribune: Primus Inter Pares"
75,29,22,6830,"Zendo"
75,30,21,366013,"Heat: Pedal to the Metal"
75,31,20,23094,"Planet Steam"
75,32,19,18602,"Caylus"
75,33,18,215,"Tichu"
75,34,17,31730,"Wabash Cannonball"
75,35,16,19777,"Indonesia"
75,36,15,26566,"Homesteaders"
75,37,14,159581,"Maskmen"
75,38,13,3076,"Puerto Rico"
75,39,12,123260,"Suburbia"
75,40,11,293972,"Loot of Lima"
75,41,10,292187,"1861: Railways of the Russian Empire & 1867: Railways of Canada"
75,42,9,411567,"The Gang"
75,43,8,191374,"Telepathy: Magic Minds"
75,44,7,102652,"Sentinels of the Multiverse"
75,45,6,41,"Can't Stop"
75,46,5,383087,"Magic Trick"
75,47,4,2346,"DVONN"
75,48,3,31260,"Agricola"
75,49,2,3201,"Lord of the Rings: The Confrontation"
75,50,1,31627,"Ticket to Ride: Nordic Countries"
82,1,50,224517,"Brass: Birmingham"
82,2,49,28720,"Brass: Lancashire"
82,3,48,4098,"Age of Steam"
82,4,47,36218,"Dominion"
82,5,46,12,"Ra"
82,6,45,28143,"Race for the Galaxy"
82,7,44,124361,"Concordia"
82,8,43,122515,"Keyflower"
82,9,42,217372,"The Quest for El Dorado"
82,10,41,2651,"Power Grid"
82,11,40,211364,"Seize the Bean"
82,12,39,97683,"Age of Rail: South Africa"
82,13,38,84876,"The Castles of Burgundy"
82,14,37,375459,"Speakeasy"
82,15,36,143693,"Glass Road"
82,16,35,31260,"Agricola"
82,17,34,128271,"Ginkgopolis"
82,18,33,65901,"Age of Industry"
82,19,32,18602,"Caylus"
82,20,31,266164,"Babylonia"
82,21,30,4390,"Carcassonne: Hunters and Gatherers"
82,22,29,39351,"Automobile"
82,23,28,401216,"Cascadero"
82,24,27,161533,"Lisboa"
82,25,26,46,"Medici"
82,26,25,118,"Modern Art"
82,27,24,256960,"Pax Pamir: Second Edition"
82,28,23,3076,"Puerto Rico"
82,29,22,144344,"Rococo"
82,30,21,3,"Samurai"
82,31,20,125153,"The Gallerist"
82,32,19,111341,"The Great Zimbabwe"
82,33,18,145371,"Three Kingdoms Redux"
82,34,17,2842,"TransAmerica"
82,35,16,128621,"Viticulture"
82,36,15,1382,"Winner's Circle"
82,37,14,196340,"Yokohama"
82,38,13,180593,"The Bloody Inn"
82,39,12,214880,"City of the Big Shoulders"
82,40,11,287941,"Formosa Tea"
82,41,10,193738,"Great Western Trail"
82,42,9,321608,"Hegemony: Lead Your Class to Victory"
82,43,8,391124,"Kraftwagen: Age of Engineering"
82,44,7,91984,"Québec"
82,45,6,199561,"Sagrada"
82,46,5,21790,"Thurn and Taxis"
82,47,4,321277,"Tinners' Trail"
82,48,3,73439,"Troyes"
82,49,2,128621,"Viticulture"
82,50,1,280575,"Yin Yang"
88,1,50,66837,"1862: Railway Mania in the Eastern Counties"
88,2,49,280480,"Crystal Palace"
88,3,48,163068,"Trickerion: Legends of Illusion"
88,4,47,256960,"Pax Pamir: Second Edition"
88,5,46,322289,"Darwin's Journey"
88,6,45,4098,"Age of Steam"
88,7,44,187645,"Star Wars: Rebellion"
88,8,43,321608,"Hegemony: Lead Your Class to Victory"
88,9,42,233078,"Twilight Imperium: Fourth Edition"
88,10,41,265537,"Weimar: The Fight for Democracy"
88,11,40,332686,"John Company: Second Edition"
88,12,39,129294,"Campaign Trail"
88,13,38,552,"Bus"
88,14,37,237179,"Weather Machine"
88,15,36,317985,"Beyond the Sun"
88,16,35,19777,"Indonesia"
88,17,34,184267,"On Mars"
88,18,33,18485,"18MEX"
88,19,32,187617,"Nemo's War (Second Edition)"
88,20,31,231733,"Obsession"
88,21,30,347305,"Inventions: Evolution of Ideas"
88,22,29,313889,"Hoplomachus: Victorum"
88,23,28,267304,"Mega Empires: The West"
88,24,27,423,"1856: Railroading in Upper Canada from 1856"
88,25,26,253608,"18Chesapeake"
88,26,25,246900,"Eclipse: Second Dawn for the Galaxy"
88,27,24,350205,"Horseless Carriage"
88,28,23,214029,"SpaceCorp: 2025-2300AD"
88,29,22,202426,"Sidereal Confluence"
88,30,21,126163,"Tzolk'in: The Mayan Calendar"
88,31,20,2651,"Power Grid"
88,32,19,310873,"Carnegie"
88,33,18,91984,"Québec"
88,34,17,295895,"Distilled"
88,35,16,266830,"QE"
88,36,15,125153,"The Gallerist"
88,37,14,175914,"Food Chain Magnate"
88,38,13,128271,"Ginkgopolis"
88,39,12,400602,"Civolution"
88,40,11,196340,"Yokohama"
88,41,10,111341,"The Great Zimbabwe"
88,42,9,311900,"Votes for Women"
88,43,8,282435,"1882: Assiniboia"
88,44,7,1,"Die Macher"
88,45,6,12,"Ra"
88,46,5,286096,"Tapestry"
88,47,4,42052,"Vinhos"
88,48,3,367517,"La Famiglia: The Great Mafia War"
88,49,2,19857,"Glory to Rome"
88,50,1,329551,"Mosaic: A Story of Civilization"
109,1,50,4098,"Age of Steam"
109,2,49,182028,"Through the Ages: A New Story of Civilization"
109,3,48,183685,"Mr. President: The American Presidency, 2001-2020"
109,4,47,62219,"Dominant Species"
109,5,46,66837,"1862: Railway Mania in the Eastern Counties"
109,6,45,39351,"Automobile"
109,7,44,13122,"Antiquity"
109,8,43,70149,"Ora et Labora"
109,9,42,1,"Die Macher"
109,10,41,35677,"Le Havre"
109,11,40,145371,"Three Kingdoms Redux"
109,12,39,193867,"1822: The Railways of Great Britain"
109,13,38,12962,"Reef Encounter"
109,14,37,256960,"Pax Pamir: Second Edition"
109,15,36,31260,"Agricola"
109,16,35,280480,"Crystal Palace"
109,17,34,111341,"The Great Zimbabwe"
109,18,33,235555,"Bios: Origins (Second Edition)"
109,19,32,19857,"Glory to Rome"
109,20,31,46,"Medici"
109,21,30,146910,"Wildcatters"
109,22,29,122515,"Keyflower"
109,23,28,42052,"Vinhos"
109,24,27,2651,"Power Grid"
